全国地方公共団体コード,町字id,街区id,住居id,住居2id,住居表示フラグ,住居表示方式コード,基礎番号・住居番号区分,代表点_経度,代表点_緯度,代表点_座標参照系,代表点_地図情報レベル,電子国土基本図(地図情報)「住居表示住所」_住所コード(可読),電子国土基本図（地名情報）「住居表示住所」_データ整備日
131016,0001001,006,001,,1,1,0,139.758121483,35.668760794,EPSG:6668,2500,http://gi.gsi.go.jp/jusho/13101/USW-1/6/1,2017-08-04
131016,0001001,006,002,,1,1,0,139.758194719,35.668890008,EPSG:6668,2500,http://gi.gsi.go.jp/jusho/13101/USW-1/6/2,2017-08-04
131016,0001001,006,003,,1,1,0,139.758272778,35.669020014,EPSG:6668,2500,http://gi.gsi.go.jp/jusho/13101/USW-1/6/3,2017-08-04
131016,0001001,006,004,,1,1,0,139.758349872,35.669153167,EPSG:6668,2500,http://gi.gsi.go.jp/jusho/13101/USW-1/6/4,2017-08-04
131016,0001001,006,005,,1,1,0,139.758427931,35.669284906,EPSG:6668,2500,http://gi.gsi.go.jp/jusho/13101/USW-1/6/5,2017-08-04
131016,0001001,006,006,,1,1,0,139.758525258,35.669457453,EPSG:6668,2500,http://gi.gsi.go.jp/jusho/13101/USW-1/6/6,2017-08-04
131016,0001001,006,007,,1,1,0,139.7586642,35.669508733,EPSG:6668,2500,http://gi.gsi.go.jp/jusho/13101/USW-1/6/7,2017-08-04
131016,0001001,006,008,,1,1,0,139.758846692,35.669434811,EPSG:6668,2500,http://gi.gsi.go.jp/jusho/13101/USW-1/6/8,2017-08-04
131016,0001001,007,001,,1,1,0,139.758950847,35.669588375,EPSG:6668,2500,http://gi.gsi.go.jp/jusho/13101/USW-1/7/1,2017-08-04
131016,0001001,007,002,,1,1,0,139.758752592,35.669658614,EPSG:6668,2500,http://gi.gsi.go.jp/jusho/13101/USW-1/7/2,2017-08-04
131016,0001001,007,003,,1,1,0,139.758701028,35.669749944,EPSG:6668,25000,http://gi.gsi.go.jp/jusho/13101/USW-1/7/3,2017-08-04
131016,0001001,007,004,,1,1,0,139.758769119,35.669877056,EPSG:6668,25000,http://gi.gsi.go.jp/jusho/13101/USW-1/7/4,2017-08-04
131016,0001001,007,005,,1,1,0,139.758835933,35.669995761,EPSG:6668,25000,http://gi.gsi.go.jp/jusho/13101/USW-1/7/5,2017-08-04
131016,0001001,007,006,,1,1,0,139.758902736,35.670123922,EPSG:6668,25000,http://gi.gsi.go.jp/jusho/13101/USW-1/7/6,2017-08-04
131016,0001001,007,007,,1,1,0,139.758970833,35.670243575,EPSG:6668,25000,http://gi.gsi.go.jp/jusho/13101/USW-1/7/7,2017-08-04
131016,0001001,007,008,,1,1,0,139.759035072,35.670364383,EPSG:6668,25000,http://gi.gsi.go.jp/jusho/13101/USW-1/7/8,2017-08-04
131016,0001001,007,009,,1,1,0,139.759101875,35.670492542,EPSG:6668,25000,http://gi.gsi.go.jp/jusho/13101/USW-1/7/9,2017-08-04
131016,0001001,007,010,,1,1,0,139.759175114,35.670621756,EPSG:6668,25000,http://gi.gsi.go.jp/jusho/13101/USW-1/7/10,2017-08-04
131016,0001001,007,011,,1,1,0,139.759245778,35.670752017,EPSG:6668,25000,http://gi.gsi.go.jp/jusho/13101/USW-1/7/11,2017-08-04
131016,0001001,007,012,,1,1,0,139.759314772,35.670878289,EPSG:6668,25000,http://gi.gsi.go.jp/jusho/13101/USW-1/7/12,2017-08-04
131016,0001001,007,013,,1,1,0,139.759377725,35.670995944,EPSG:6668,2500,http://gi.gsi.go.jp/jusho/13101/USW-1/7/13,2017-08-04
131016,0001001,007,014,,1,1,0,139.759444536,35.67111675,EPSG:6668,2500,http://gi.gsi.go.jp/jusho/13101/USW-1/7/14,2017-08-04
131016,0001001,007,015,,1,1,0,139.759515203,35.671243864,EPSG:6668,2500,http://gi.gsi.go.jp/jusho/13101/USW-1/7/15,2017-08-04
